Age,Condition,Subject,Recall,Omission,Commission,Commission_Old,Commission_New,Recall Err,Recall_Err_2,Krinsky_Recall,FOK,Recog,Hit,RecogHit,Recog_Type,CJ,HCFA,Category,Target,Target Typ,Word2,Word2 Typ,Word3,Word3 Typ,Word4,Word4 Typ,Alt1,Alt1 Typ,Alt2,Alt2 Typ,Alt3,Alt3 Typ,Recog_choice_typ,Coding,Compliance,MemAid RT,Luce_Target,Luce_Word2,Luce_Word3,Luce_Alt2,Luce_Alt3,Luce_Max_Choice,Luce_Variance,Luce_Variance2,Luce_Choice,Luce_Choice2,Target_degree,Target_clustering,Word2_degree,Word2_clustering,Word3_degree,Word3_clustering,Alt2_degree,Alt2_clustering,Alt3_degree,Alt3_clustering,Recog_choice_degree,Recog_choice_clustering,Target_degree_gmcenter,Target_clustering_gmcenter,Choice_degree_gmcenter,Choice_clustering_gmcenter
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,95,0,Word2,3,FA_Old,40,0,Alcoholic Beverage,Tequila,0.24,Whiskey,0.32,Gin,0.23,Scotch,0.09,Wine,0.54,Champagne,0.09,Rum,0.43,0.32,s,1,7283,0.183206107,0.244274809,0.175572519,0.06870229,0.328244275,0.328244275,0.01567,0.027990476,0.244274809,0.164948454,,,0.26,0.14,0.26,0.25,0.26,0.15,0.29,0.18,0.26,0.14,,,0.083266223,0.003749775
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,30,0,Word3,3,FA_Old,60,0,Article of Clothing,Dress,0.19,Shoe,0.53,Short,0.34,Jeans,0.2,Hat,0.44,Sweater,0.33,Jacket,0.33,0.34,s,1,6438,0.110465116,0.308139535,0.197674419,0.191860465,0.191860465,0.308139535,0.01468,0.01472381,0.197674419,0.144067797,0.3,0.07,0.23,0.08,0.27,0.14,0.23,0.21,0.28,0.1,0.27,0.14,0.077473446,-0.106142534,0.093266223,0.003749775
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,80,1,Target,1,Correct,70,0,Article of Furniture,Recliner,0.12,Bookshelf,0.04,Dresser,0.28,Table,0.75,Couch,0.7,Bed,0.58,Desk,0.49,0.12,s,1,7452,0.079470199,0.026490066,0.185430464,0.38410596,0.324503311,0.38410596,0.05372,0.07862381,0.079470199,0.040540541,,,,,0.27,0.28,0.2,0.07,0.3,0.08,0,0,,,-0.176733777,-0.136250225
YA,Shared,105,0,0,1,0,1,Comm2,Comm,Correct,50,1,Target,1,Correct,80,0,Bird,Dove,0.12,Crow,0.24,Pigeon,0.2,Bluejay,0.4,Cardinal,0.38,Parrot,0.22,Hawk,0.3,0.12,s,1,4611,0.111111111,0.222222222,0.185185185,0.203703704,0.277777778,0.277777778,0.00428,0.010095238,0.111111111,0.064516129,0.2,0.13,0.25,0.14,0.26,0.15,0.26,0.14,0.29,0.24,0.2,0.13,-0.022526554,-0.046142534,0.023266223,-0.006250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,60,0,Word2,3,FA_Old,80,0,Building for Religious Services,Cathedral,0.2,Monastery,0.07,Sanctuary,0.05,Synagogue,0.54,Chapel,0.18,Temple,0.67,Mosque,0.41,0.07,s,1,9432,0.142857143,0.05,0.035714286,0.478571429,0.292857143,0.478571429,0.0681,0.05772381,0.05,0.033018868,0.25,0.17,,,0.35,0.16,0.21,0.2,,,0,0,0.027473446,-0.006142534,-0.176733777,-0.136250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,70,1,Target,1,Correct,50,0,Carpenter's Tools,Saw,0.57,Screwdriver,0.48,Drill,0.23,Wrench,0.2,Level,0.13,Tape measure,0.12,Sander,0.1,0.57,s,1,8341,0.38,0.32,0.153333333,0.08,0.066666667,0.38,0.04565,0.035180952,0.38,0.31147541,0.25,0.08,0.25,0.29,0.33,0.05,,,,,0.25,0.08,0.027473446,-0.096142534,0.073266223,-0.056250225
YA,Shared,105,0,0,1,1,0,Comm1,Comm,Correct,30,0,Word3,3,FA_Old,90,1,Elective Office,Representative,0.23,Judge,0.06,Senator,0.55,Vice president,0.53,Mayor,0.41,Governor,0.43,Treasurer,0.23,0.55,s,1,8237,0.153333333,0.04,0.366666667,0.286666667,0.153333333,0.366666667,0.0367,0.032547619,0.366666667,0.225409836,0.35,0.12,0.33,0.07,0.35,0.27,0.31,0.13,,,0.35,0.27,0.127473446,-0.056142534,0.173266223,0.133749775
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,75,0,Alt2,2,FA_New,40,0,Fish,Salmon,0.51,Flounder,0.18,Swordfish,0.15,Blowfish,0.07,Goldfish,0.44,Catfish,0.27,Tuna,0.25,0.27,s,1,6966,0.375,0.132352941,0.110294118,0.198529412,0.183823529,0.375,0.02012,0.024890476,0.198529412,0.144385027,0.2,0.18,,,0.39,0.18,,,0.2,0.23,0,0,-0.022526554,0.003857466,-0.176733777,-0.136250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,70,0,Word3,3,FA_Old,90,1,Footwear,High heels,0.4,Slipper,0.22,Sneaker,0.32,Boot,0.58,Tennis,0.35,Flip flop,0.32,Running,0.15,0.32,s,1,4578,0.283687943,0.156028369,0.226950355,0.226950355,0.106382979,0.283687943,0.00952,0.018728571,0.226950355,0.136752137,,,0.24,0.15,0.31,0.2,,,,,0.31,0.2,,,0.133266223,0.063749775
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,60,0,Word3,3,FA_Old,90,1,Four-footed animal,Deer,0.23,Goat,0.13,Lion,0.41,,.,Horse,0.52,Bear,0.37,Cow,0.35,0.41,s,1,7436,0.154362416,0.087248322,0.275167785,0.248322148,0.234899329,0.275167785,0.01332,0.01887,0.275167785,0.2039801,0.26,0.09,0.24,0.07,0.2,0.1,0.27,0.05,0.21,0.09,0.2,0.1,0.037473446,-0.086142534,0.023266223,-0.036250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,60,1,Target,1,Correct,90,0,Fruit,Banana,0.71,Pear,0.5,Orange,0.86,Peach,0.4,Pineapple,0.26,Grape,0.52,Strawberry,0.4,0.71,s,1,8345,0.237458194,0.16722408,0.287625418,0.173913043,0.133779264,0.287625418,0.03402,0.041414286,0.237458194,0.194520548,0.2,0.06,0.21,0.17,0.2,0.06,0.23,0.16,0.22,0.31,0.2,0.06,-0.022526554,-0.116142534,0.023266223,-0.076250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,100,0,Alt3,2,FA_New,70,0,Fuel,Solar,0.14,Propane,0.1,Electricity,0.11,Diesel,0.38,Oil,0.33,Natural gas,0.12,Coal,0.2,0.2,s,1,6809,0.208955224,0.149253731,0.164179104,0.179104478,0.298507463,0.298507463,0.00158,0.012890476,0.298507463,0.144927536,0.15,0.19,,,0.24,0.11,,,0.25,0.12,0.25,0.12,-0.072526554,0.013857466,0.073266223,-0.016250225
YA,Shared,105,0,1,0,0,0,Omm,Omm,Omm,0,0,Word3,3,FA_Old,90,1,Gardener's Tools,Seed,0.07,Rake,0.62,Glove,0.27,Water hose,0.07,Spade,0.16,Clippers,0.06,Hoe,0.69,0.27,s,1,8155,0.040935673,0.362573099,0.157894737,0.035087719,0.403508772,0.403508772,0.08927,0.072457143,0.157894737,0.139175258,0.34,0.12,,,0.25,0.08,,,,,0.25,0.08,0.117473446,-0.056142534,0.073266223,-0.056250225
YA,Shared,105,0,0,1,1,0,Comm1,Comm,Correct,60,0,Word3,3,FA_Old,10,0,Herb,Oregano,0.39,Thyme,0.27,Rosemary,0.22,Garlic,0.18,Cilantro,0.07,Parsley,0.23,Cinnamon,0.07,0.22,s,1,8233,0.330508475,0.228813559,0.186440678,0.194915254,0.059322034,0.330508475,0.01318,0.012728571,0.186440678,0.153846154,,,,,,,0.26,0.24,,,0,0,,,-0.176733777,-0.136250225
YA,Shared,105,1,0,0,0,0,Correct,Correct,Correct,50,1,Target,1,Correct,100,0,Insect,Fly,0.61,Ant,0.57,Wasp,0.17,Bee,0.41,Spider,0.43,Beetle,0.31,Moth,0.15,0.61,s,1,4330,0.337016575,0.314917127,0.093922652,0.171270718,0.082872928,0.337016575,0.04732,0.032380952,0.337016575,0.230188679,0.31,0.07,0.25,0.1,0.18,0.25,0.27,0.23,0.31,0.12,0.31,0.07,0.087473446,-0.106142534,0.133266223,-0.066250225
